AT&T Messages;Shared how to access	Retrieve those messages
Process a Payment;Shared information/details	There is no scheduled payment set|Have no service disruption|Informed the customer|Schedule a payment arrangement|Advise customer|Make payment first|Need arrangement also|Let customer|Transferred the customer cold to the collections|Set pa schedule|Make payment online through myatt app educate|Setup a pa on this account|Secure services on the account
Prorated Charges;Shared information/details	Aug bill att|Changed the phone on 4|Told the bill|Completed a bill cycle change|Had some prorated charges|Exist bill|Advise customer|Informed the customer of the prorated charges|View his bill|Advise customer of leftover pd bal|Advised the customer that the balance|Advised the att|Pay the upgrade fee|Paid an upgrade fee confrimed on her december statement|Told those prorated charges|Changed his plan middle of the bill cycle
Provisioning - AT&T Workforce Manager;Shared how to access	Advised the caller|Add smart limits|Remove feature from line|Block i messages|Had no data connection|Doesnt stop data after customer reaches|Offered her alternative option|Educated the customer|Remove feature for 24hrs|Block the call|Put blocks
Provisioning - AT&T Workforce Manager;Shared known network issues	Turn his data off man|Take her data
Purchase Blocker;Shared information/details	Block data|Instructed the customer to power cycle|Remove purchase blocker|Have the purchase billed to his accnt|Informed the customer that the text block|Have a purchase blocker|Set expectations|Educated the customer on third party charges|Add a data blocker on her account|Discuss current charges|Contacted the bank advised|Educate customer|Make anymore mobile purchases until 11|Contact apple directly since the purchase
Reduced Rate Suspend;Shared information/details	Suspend the line reduced rate|Suggested a reduced rate suspension|Keep call forwarding|Add an international plan because her line|Reduce rate|Do a customer request suspension at 40|N t suspend at reduced rate|There is a past due amt|Offered the reduce suspension customer agreed|Put phone on reduced rate susp|Had his line reduce rate suspended|Want international plans
Reinstate/Restoral Fee;Shared information/details	Avoid restoral fee|Waive restoral fees|Was a past due amount on the account|Carried a past due amt for months|Was a restoral fee waived|Set expectations about restoral fee late payment fee activation fee|Broken payment arrangements
Reinstate/Restoral Fee;Shared information/details-Issued Adjustment	Advised no notation on the payment arrangement|Explained the restoral fee|Charged a restoral fee|Provide courtesy credit as one|Remove extra charges|Offerered a first time credit on this matter|Requested a revision of the restoral fee|Change due date|Educate customer|Give a courtesy credit of 20|Have a payment arrangement|Made an adjthe restoral fee
Research Equipment Charges;Shared information/details	Was her wireless home phone|Was a past due balance on the account|Educated the customer about the monthly recurring charges|Keep his grand fathered plan|Received credit after the 3rd billing cycle|Charge line access fees|Move her up to a mobile share plan|Had the att wireless home phone|Explain plan change of pro rated charge
Research Equipment Charges;Shared information/details-Issued Adjustment	Was a billing error in system manager|Offered a courtesy credit by 50.|Cause prorated charges|Recommended the customer upgrade|Remove the installment plan on his line
Restore or Resume Service;Shared information/details	Pay the past due balance|Add a temp data block|Pay pd bal|Was no way gave option of reduced rate suspension|Make cash payment|Suspend line for reduced rate|Advise power cycle device for service|Have regular monthly charge|Were no past due amounts on the account and no cancellation|Placed both lines on the reduced rate suspend|Reduce rate suspend works
Road Side Assistance;Shared information/details	Roadside assistance|Gave him the direct number|Have road side assistance service|Have the roadside assistance last ovt|Advise customer|Were no features on account|Add coverage to the other user s
SIM Card Issue (TG);Shared equipment replacement needed	Follow the sim|Changed the sim card|Gotten a new sim issue still|Had the device overlooked at a cor store and the issue|Send sim card also|Advised the customer that the number|Do att|Known issue with device|Shared no working sim|Activate device|Verified no liquid physical damage on the device|Be device issue|Give an free sim card|Cor store|Get new simcard|Charged the value of the replacement device|Activated the phone|Created a warranty claim|Tested the sim in the old phone|Sim card information on profile tab|Need a new sims|Get a compatible sim card in order reatcivate number|Get a new sim card|Do a master reset|Processed the warranty for her device|Activate the number at the store|Replace the simcard|Shared the insurance replacement was|Take device into a corp store
SIM Card Issue (TG);Shared how to access	Switch the sim cards|Get a new sim card|Sim card|Use diiff sim cards|Use old sim card|Get previous sim cards reactivated|Att phone|Vi sim in order track|Replaced sim card on 12|There is no sim card|Have her sim card reactivated|Remove reseat sim card
SIM Card Issue (TG);Shared manufacturer information	Notate the account on the first phones|Checked sim card number|Order a sim over the phone|Educate agent|Had the phone replaced|Shared the information|Switch the sim cards because both devices|Activate the phone on our line
Sign-up/Manage Paperless Billing;Shared information/details	Checked the billing parameters|Explained her prorated bill for her bill cycle change|Complete a pin validation first|Have account number|Change bill cycle date however|Get paper bills
Softcard Issue;Shared how to access	Have the photos|Turn device|Shared the info about the apple care number|Given me any info
Softcard Issue;Shared information/details	Track the device
Softcard Issue;Shared known network issues	Had the customer to power cycle|Informed the customer
Software Update Issue (TG);Shared how to access	Do a hard reset on the device|Stop a software update|Reset apple id password|Be the same password as his apple id pass|Finish the software update|Use remote support|Reset network settings still|Do a master reset|Update software|Update software on his device|Had an old apple id|Apple store|Have a wifi network|Educate customer itunes|Factory reset on her own time and call
Software Update Issue (TG);Shared manufacturer information	Apple store|Try hard reset on device|Restore device in itunes|Resolve the issue|Work customer|Advised the customer that my sup|Apple care|Do a reset|Turn the data|Push the software to the phone|Contact apple|Discuss w apple|Resolve setting correct in phone
Store Location/Information;Shared information/details	Access the mobile hot spot on his device|Apple care support|Mobile hot spot|Provided the warranty expiration date|Have the account pass code|Download facebook in her google play store|Download 3rd party apps|Tab assisted customer with mobile hot spot and prices|Reset network settings|Pay past due balance first|Use the mobile hot spot with the proper data|Unlock the hot spot feature
Taxes and surcharges;Shared information/details	Shared the fan discount was|Was a government fee|Activated her rate plan|Was the total combination of the government fees and taxes
Taxes and surcharges;Shared information/details-Issued Adjustment	Cover those taxes|Educate the customer|Checked the account|Manage the data|Received a courtesy credit|Offered a credit of 25|Was no adjust|Changed his plan|Completed his balance|Cover any few cents|Happen every month
ToBR (Transfer of Billing Responsibility);Shared process ToBR online	Start the tobr process online|Call our tobr team|Gave him the number to the tobr team|Set expectations|Run a credit check|Tobr team just in case
ToBR (Transfer of Billing Responsibility);Shared process ToBR over the phone	Provided the tobr department number|Have account holder call|Assume financial responsibility of 516|Put a special instructions|Have authorization from current account owner|Call tobr department|Assume financial responsibility for his line|Transfer an account with a past due balance|Educate tobr option|Give financial responsibility to person
Unbilled Voice Usage;Shared information/details	Add world connect value plan|Explained the voice usage costs|T placed international calls|View call log for ctn advised customer|Waive the complete voice charges|Had the world connect on his line|Took a look at the customer call log|Confirmed no world connect value provisioned on line|Remove world connect at the beginning|Call log had|Offered the att world connected value for 5|Offered an adjustment for the extra charges
Upgrade;Shared information/details	Have a past due balance|Have upgrade fee waived per|Change the billing due date whenever|Had an upgrade fee waived
Upgrade;Shared information/details-Issued Adjustment	Got a new phone through the apple store|Waived the upgrade fee|Waive upgrade fee|Process a courtesy credit for customer|Upgrade fees|Was a standard fee|Be charged upgrade fee|Set expectations with balance|Offset the cost of an international charge and the upgrade fee
Voice Calling Plans;Shared information/details	Keep unlimited data|Mobile share plan|Add a line to her grand fathered plan|Kept her current plan|Because we no longer offer unlimited data|Keep mobile share savings|Cancel voice plans|Add unlimited talk|Msvp the unlimited data also|Receive collect calls|Receive the unlimited talk
Voicemail (TG);Shared equipment replacement needed	Make the device|Xchge defective device to asurion|Rtrack her straight talk phone|Bring her phone back to the store
Voicemail (TG);Shared how to access	Add the phone number to the auto reject list|Reset apple id password at apple|Install 3rd party apps|Att address book|Use the personal hot spot|There is an wi fi disconnection|Get mobile hot spot unbless|Need a 3rd party app|N t show wi fi|Had her do sync from att address book and compy contacts|Use mobile hot spot instead of usb|Was a global positioning system issue
Voicemail (TG);Shared manufacturer information	Push the phone in recovery mode|Do return at att store|Contact apple for assistance|Apple care support|Change apple id|Do a warranty claim|Reset password|Apple store|Do a factory reset|Either process warranty claim with apple|Visit a nearby apple store so
WHP Caller ID (TG);Shared equipment replacement needed	Get a new phone|Take the phone|Contact otter box customer care first|Have ins on the line|Checked all possible options|There is no ins|Advised the customer|Have insurance|Guarantee replacement for damaged devices|Checked the info|Receive a warranty replacement if device|Have insurence|Schedule device assistance at dsc location w|Do warranty replacement through apple|Get replacement
WHP Caller ID (TG);Shared how to access	There is no liquid or physical damage|Been the tech guide|Complete a master reset|Hard reset|Correct the issue clear cache from dialer and attempted safe mode launch|Have sim card|Do a factory reset|Resolve power cycle issue|Rest the device because safe mode|Blank screen|Didnt work
WHP Caller ID (TG);Shared manufacturer information	Apple support|Do a soft reset o nthe phone|Contact apple refused|Advised no ins on this line|There is a software update|Apple store|Have her go into an apple store and troubleshoot|Be considered physical damage|Advise att|Advised the device|Visit apple store for testing advised customer|There is physical damage|Provided the number to warranty|Reboot device|Cover provided tel
WHP Corded/Cordless Handset Questions;Shared how to access	Provide the phone|Have a duel device|Was a device issue w|Have wireless compatible devices|Verify used device
WHP Dropped Calls (TG);Shared how to access	Hold the power button until the power|Placed a test call|Troubleshoot customer not with device|Check device customer declined|Move device closer to a window|Hear the customer just
WHP Make/Receive Calls - How To (TG);Shared how to access	Contact customer back|Push the reset button|Coul n t complete troubleshooting|Troubleshoot the device|Cycled the wireless home phone|Make the call|Make calls|Setup vmail|Setup device by pressing|Educated the customer|Changed his vm password|Take unit|Use the phone for outbound|Be other device
Warranty-Charge Dispute/Returns;Shared Tracking Information	Consider replacement from insurance|Gave the warranty dept|Returned the device|Pull any tracking info|Avoid charges|Had a post office|Provided this tracking number to the customer|Educate customer|Purchase a charger seperately|Post office to research|Call asurion|There is a return label|Make a warranty claim|Dispute this charge|Explained the warranty expired in 2014.|Use enclosed return label|Return device asap via usps|Send device back|Show no records
Warranty-Track Device Return;Shared Tracking Information	Transfer info from original device|Advised a call back|Use the spen from the original device|There is no tracking information|Charged the value of the replacement device|Advise customer|Track device through usps|Post office|Need the battery back
Warranty-Track Shipment;Shared Tracking Information	Approved no physical liquid damage|Offset the cost of the priority shipping|Att store|Finish the warranty claim|Submitted another warranty claim|Searched the device in order track|Ship the replacement device back|Shared the tracking info|Retrieve tracking info for fed ex|Put return label on box|Completed an exception warranty replacement|Use the return label|Said the tracking number|Post office|Filed a warranty claim for cust|Contact post office in the morning|Return new replacement device once|Processed the microcell warranty for the black microcell and waived priority shipping|There has been previous raised exceptions
Wireless Home Phone;Shared information/details	Find a local repair shop|Had the multi device protection pack added|There is an open enrollment period|Cover physical damage|Confirm msj gratis|Buy another phone at full retail price|Have the mobile protection pack so
Wireless Number Changes;Shared information/details	Change phone number|Was a past due balance for her account|Give customer free number change|Informed the customer of the number change fee|Have awireless number change|Share information about past due balance and number change fee
Write-off (OCA) account;Shared information/details	Pay a deposit of 500|Allow delay|Advise customer of charges|Advised the customer|Provide any information about account|Setup payment arrangement account|Have account number provided|Ensure no delinquent account|Acticvate the line|Told the customer about the last payment|Send him a email|Contact the collection agency because the account|Reverse his payment|Check emails
iPhone AT&T Upgrade;Shared how to access	Try att s|Submit a location lab ticketto|Accept sms|Be used w fammap as per mycsp|Applle icloud|Find app|Download the app on his pad|Assist customer|Suspend the line|Download app on each phone iphone|Be used w prepaid devices|Was a prepaid device|Removed the app|Remove line|Att applicaton on phne|Make sure wifi global positioning system location services|Have family map app|Locate line
myAT&T: Other;Shared information/details	Was a past due balance|Reset pass code|Use her att access id as user|Uverse tech support|Have smart limits
myAT&T;Shared information/details	Ask the account owner for the information|Select forgot user id password|Assigned a difference user id|Reset pw sent via email|Have a registered online account|Provide user id pw buti|Advised the customer that the account holder|There is no pass code|Added his user id|Create actual access id|Got an error message|Type her pass code|Update offered call back|Reset the pass code|Retrieve the user id|Reset pw on our end|Check pass code on acct|Are access ids|Change the email to the correct email|Receive online registration code through text or email|Have correct email on file
